year,moth,day,phenomenon,weather_condition,min_temp,med_temp,max_temp,city
2020,4,25,Nessuno ,poco nuvoloso ,9 °C ,18 °C ,26 °C ,Mantova
2020,4,26,Pioggia  ,sereno ,13 °C ,18 °C ,23 °C ,Mantova
2020,4,27,Nessuno ,poco nuvoloso ,12 °C ,17 °C ,22 °C ,Mantova
2020,4,28,Pioggia  ,poco nuvoloso ,12 °C ,16 °C ,21 °C ,Mantova
2020,4,29,Pioggia  ,pioggia e schiarite ,14 °C ,17 °C ,20 °C ,Mantova
2020,4,30,Pioggia  ,pioggia e schiarite ,10 °C ,15 °C ,21 °C ,Mantova
2020,5,1,Pioggia - Nebbia  ,poco nuvoloso ,9 °C ,16 °C ,20 °C ,Mantova
2020,5,2,Nessuno ,poco nuvoloso ,9 °C ,17 °C ,24 °C ,Mantova
2020,5,3,Nessuno ,poco nuvoloso ,11 °C ,18 °C ,22 °C ,Mantova
2020,5,4,Nessuno ,sereno ,10 °C ,17 °C ,24 °C ,Mantova
2020,5,5,Nessuno ,poco nuvoloso ,10 °C ,18 °C ,24 °C ,Mantova
2020,5,6,Nessuno ,poco nuvoloso ,15 °C ,18 °C ,21 °C ,Mantova
2020,5,7,Nessuno ,sereno ,10 °C ,18 °C ,24 °C ,Mantova
2020,5,8,Nessuno ,sereno ,10 °C ,19 °C ,26 °C ,Mantova
2020,5,9,Nessuno ,sereno ,12 °C ,20 °C ,27 °C ,Mantova
2020,5,10,Pioggia  ,poco nuvoloso ,17 °C ,20 °C ,25 °C ,Mantova
2020,5,11,Pioggia  ,pioggia debole ,14 °C ,17 °C ,20 °C ,Mantova
2020,5,12,Pioggia  ,pioggia e schiarite ,14 °C ,17 °C ,24 °C ,Mantova
2020,5,13,Pioggia  ,poco nuvoloso ,12 °C ,16 °C ,19 °C ,Mantova
2020,5,14,Pioggia  ,poco nuvoloso ,12 °C ,19 °C ,25 °C ,Mantova
2020,5,15,Pioggia  ,pioggia e schiarite ,14 °C ,18 °C ,21 °C ,Mantova
2020,5,16,Pioggia  ,pioggia e schiarite ,13 °C ,17 °C ,21 °C ,Mantova
2020,5,17,Pioggia  ,pioggia e schiarite ,15 °C ,19 °C ,25 °C ,Mantova
2020,5,18,Nessuno ,poco nuvoloso ,16 °C ,21 °C ,25 °C ,Mantova
2020,5,19,Pioggia - Temporale  ,pioggia e schiarite ,17 °C ,20 °C ,24 °C ,Mantova
2020,5,20,Pioggia  ,pioggia e schiarite ,16 °C ,20 °C ,26 °C ,Mantova
2020,5,21,Nessuno ,sereno ,13 °C ,20 °C ,26 °C ,Mantova
2020,5,22,Nessuno ,poco nuvoloso ,14 °C ,21 °C ,26 °C ,Mantova
2020,5,23,Pioggia  ,poco nuvoloso ,17 °C ,22 °C ,27 °C ,Mantova
2020,5,24,Nessuno ,poco nuvoloso ,15 °C ,20 °C ,25 °C ,Mantova
2020,5,25,Nessuno ,sereno ,12 °C ,20 °C ,26 °C ,Mantova
2020,5,26,Nessuno ,poco nuvoloso ,15 °C ,20 °C ,25 °C ,Mantova
2020,5,27,Nessuno ,poco nuvoloso ,12 °C ,19 °C ,24 °C ,Mantova
2020,5,28,Pioggia  ,poco nuvoloso ,13 °C ,19 °C ,25 °C ,Mantova
2020,5,29,Pioggia  ,pioggia e schiarite ,13 °C ,17 °C ,22 °C ,Mantova
2020,5,30,Pioggia  ,poco nuvoloso ,12 °C ,18 °C ,22 °C ,Mantova
2020,5,31,Pioggia  ,poco nuvoloso ,14 °C ,18 °C ,23 °C ,Mantova
2020,6,1,Nessuno ,poco nuvoloso ,13 °C ,21 °C ,26 °C ,Mantova
2020,6,2,Pioggia  ,poco nuvoloso ,15 °C ,22 °C ,28 °C ,Mantova
2020,6,3,Nessuno ,poco nuvoloso ,13 °C ,21 °C ,28 °C ,Mantova
2020,6,4,Pioggia  ,pioggia ,14 °C ,16 °C ,19 °C ,Mantova
2020,6,5,Pioggia  ,pioggia e schiarite ,15 °C ,20 °C ,25 °C ,Mantova
2020,6,6,Pioggia - Temporale  ,poco nuvoloso ,15 °C ,21 °C ,27 °C ,Mantova
2020,6,7,Pioggia - Temporale  ,poco nuvoloso ,16 °C ,20 °C ,23 °C ,Mantova
2020,6,8,Pioggia - Temporale  ,temporale e schiarite ,16 °C ,18 °C ,22 °C ,Mantova
2020,6,9,Pioggia  ,poco nuvoloso ,16 °C ,19 °C ,24 °C ,Mantova
2020,6,10,Pioggia - Temporale  ,temporale ,14 °C ,17 °C ,23 °C ,Mantova
2020,6,11,Pioggia - Temporale  ,poco nuvoloso ,14 °C ,17 °C ,21 °C ,Mantova
2020,6,12,Nessuno ,poco nuvoloso ,12 °C ,19 °C ,25 °C ,Mantova
2020,6,13,Pioggia - Temporale  ,poco nuvoloso ,14 °C ,21 °C ,27 °C ,Mantova
2020,6,14,Pioggia  ,pioggia e schiarite ,17 °C ,20 °C ,26 °C ,Mantova
2020,6,15,Pioggia - Temporale  ,temporale e schiarite ,16 °C ,21 °C ,25 °C ,Mantova
